"Scenario","Region","Variable","Year","Value"
"Canada Net-zero","Alberta","Hydrogen",2042,104.6557383
"Canada Net-zero","Alberta","Natural Gas",2042,1600.160416
"Canada Net-zero","Alberta","Natural Gas with CCUS",2042,21586.52453
"Canada Net-zero","Alberta","Oil",2042,0
"Canada Net-zero","Alberta","Onshore Wind",2042,66596.58044
"Canada Net-zero","Alberta","Solar (Distributed)",2042,2417.944389
"Canada Net-zero","Alberta","Solar (Utility scale)",2042,24479.65853
"Canada Net-zero","Alberta","Uranium SMR",2042,14504.91754
"Canada Net-zero","Alberta","Total",2042,147584.728779
"Canada Net-zero","British Columbia","Bioenergy",2042,2262.556319
"Canada Net-zero","British Columbia","Bioenergy with CCUS",2042,1576.8
"Canada Net-zero","British Columbia","Hydro",2042,60907.79189
"Canada Net-zero","British Columbia","Natural Gas",2042,942.8284111
"Canada Net-zero","British Columbia","Natural Gas with CCUS",2042,199.4333879
"Canada Net-zero","British Columbia","Oil",2042,0
"Canada Net-zero","British Columbia","Onshore Wind",2042,24659.3074
"Canada Net-zero","British Columbia","Solar (Distributed)",2042,1615.621209
"Canada Net-zero","British Columbia","Solar (Utility scale)",2042,9407.03467
"Canada Net-zero","British Columbia","Uranium SMR",2042,13838.38477
"Canada Net-zero","British Columbia","Total",2042,115409.758057
"Canada Net-zero","Manitoba","Bioenergy",2042,50.38912535
"Canada Net-zero","Manitoba","Hydro",2042,50060.58743
"Canada Net-zero","Manitoba","Natural Gas",2042,0
"Canada Net-zero","Manitoba","Oil",2042,0
"Canada Net-zero","Manitoba","Onshore Wind",2042,1391.488965
